Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File
-23.6,-46.68800000000001,2024-02,0,1,sp_macro_images/macro_-23.60000_-46.68800_2024-02.jpg
-23.6,-46.68400000000001,2024-11,0,1,sp_macro_images/macro_-23.60000_-46.68400_2024-11.jpg
-23.6,-46.676000000000016,2023-07,0,0,sp_macro_images/macro_-23.60000_-46.67600_2023-07.jpg
-23.6,-46.67200000000002,2023-07,1,0,sp_macro_images/macro_-23.60000_-46.67200_2023-07.jpg
-23.6,-46.66800000000002,2023-03,0,1,sp_macro_images/macro_-23.60000_-46.66800_2023-03.jpg
-23.6,-46.66400000000002,2024-02,1,0,sp_macro_images/macro_-23.60000_-46.66400_2024-02.jpg
-23.6,-46.65200000000003,2024-12,0,1,sp_macro_images/macro_-23.60000_-46.65200_2024-12.jpg
-23.6,-46.64800000000003,2025-01,0,1,sp_macro_images/macro_-23.60000_-46.64800_2025-01.jpg
-23.6,-46.640000000000036,2025-01,1,2,sp_macro_images/macro_-23.60000_-46.64000_2025-01.jpg
-23.6,-46.63600000000004,2024-12,1,0,sp_macro_images/macro_-23.60000_-46.63600_2024-12.jpg
-23.6,-46.63200000000004,2024-12,0,0,sp_macro_images/macro_-23.60000_-46.63200_2024-12.jpg
-23.6,-46.624000000000045,2025-06,0,0,sp_macro_images/macro_-23.60000_-46.62400_2025-06.jpg
-23.6,-46.62000000000005,2024-01,0,0,sp_macro_images/macro_-23.60000_-46.62000_2024-01.jpg
-23.6,-46.61600000000005,2024-07,0,0,sp_macro_images/macro_-23.60000_-46.61600_2024-07.jpg
-23.6,-46.61200000000005,2024-07,0,0,sp_macro_images/macro_-23.60000_-46.61200_2024-07.jpg
-23.6,-46.60000000000006,2024-01,0,2,sp_macro_images/macro_-23.60000_-46.60000_2024-01.jpg
-23.6,-46.588000000000065,2024-01,0,0,sp_macro_images/macro_-23.60000_-46.58800_2024-01.jpg
