Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File,Nighttime_Radiance
-23.592,-46.65600000000003,2024-04,0,0,sp_macro_images/macro_-23.59200_-46.65600_2024-04.jpg,67.02
-23.592,-46.65200000000003,2024-07,0,1,sp_macro_images/macro_-23.59200_-46.65200_2024-07.jpg,84.27
-23.592,-46.64000000000004,2024-12,0,1,sp_macro_images/macro_-23.59200_-46.64000_2024-12.jpg,80.36
-23.592,-46.63600000000004,2024-07,0,1,sp_macro_images/macro_-23.59200_-46.63600_2024-07.jpg,83.73
-23.592,-46.62800000000004,2024-12,0,0,sp_macro_images/macro_-23.59200_-46.62800_2024-12.jpg,84.12
-23.592,-46.624000000000045,2025-01,1,1,sp_macro_images/macro_-23.59200_-46.62400_2025-01.jpg,90.36
-23.592,-46.62000000000005,2025-01,0,0,sp_macro_images/macro_-23.59200_-46.62000_2025-01.jpg,93.94
-23.592,-46.60800000000005,2024-04,0,0,sp_macro_images/macro_-23.59200_-46.60800_2024-04.jpg,86.5
-23.592,-46.604000000000056,2024-04,0,1,sp_macro_images/macro_-23.59200_-46.60400_2024-04.jpg,83.2
-23.592,-46.60000000000006,2024-04,1,1,sp_macro_images/macro_-23.59200_-46.60000_2024-04.jpg,82.73
-23.592,-46.59600000000006,2024-10,0,2,sp_macro_images/macro_-23.59200_-46.59600_2024-10.jpg,82.45
-23.592,-46.59200000000006,2024-01,0,0,sp_macro_images/macro_-23.59200_-46.59200_2024-01.jpg,83.84
-23.592,-46.58400000000007,2024-01,0,1,sp_macro_images/macro_-23.59200_-46.58400_2024-01.jpg,71.82
-23.592,-46.56000000000008,2024-04,0,1,sp_macro_images/macro_-23.59200_-46.56000_2024-04.jpg,49.85
-23.588,-46.68400000000001,2024-02,0,0,sp_macro_images/macro_-23.58800_-46.68400_2024-02.jpg,141.25
-23.588,-46.67200000000002,2024-04,0,0,sp_macro_images/macro_-23.58800_-46.67200_2024-04.jpg,134.52
-23.588,-46.66800000000002,2024-02,0,0,sp_macro_images/macro_-23.58800_-46.66800_2024-02.jpg,103.24
-23.588,-46.66400000000002,2024-04,0,0,sp_macro_images/macro_-23.58800_-46.66400_2024-04.jpg,59.8
-23.588,-46.660000000000025,2025-05,0,0,sp_macro_images/macro_-23.58800_-46.66000_2025-05.jpg,67.05
-23.588,-46.65200000000003,2025-01,1,0,sp_macro_images/macro_-23.58800_-46.65200_2025-01.jpg,81.28
-23.588,-46.64800000000003,2025-01,1,1,sp_macro_images/macro_-23.58800_-46.64800_2025-01.jpg,81.28
-23.588,-46.644000000000034,2024-12,0,0,sp_macro_images/macro_-23.58800_-46.64400_2024-12.jpg,74.36
-23.588,-46.64000000000004,2024-12,0,1,sp_macro_images/macro_-23.58800_-46.64000_2024-12.jpg,75.03
-23.588,-46.63200000000004,2025-01,0,1,sp_macro_images/macro_-23.58800_-46.63200_2025-01.jpg,81.16
-23.588,-46.62800000000004,2024-02,0,0,sp_macro_images/macro_-23.58800_-46.62800_2024-02.jpg,77.92
-23.588,-46.624000000000045,2024-02,0,1,sp_macro_images/macro_-23.58800_-46.62400_2024-02.jpg,76.91
-23.588,-46.62000000000005,2025-10,0,1,sp_macro_images/macro_-23.58800_-46.62000_2025-10.jpg,84.31
-23.588,-46.60800000000005,2025-01,0,0,sp_macro_images/macro_-23.58800_-46.60800_2025-01.jpg,84.37
