Lat,Lon,Date,Vendor_Count,Stall_Count,Image_File
-23.75,-46.8245,2024-06,0,0,sp_full_scan_images/full_-23.75000_-46.82450_2024-06.jpg
-23.75,-46.79700000000001,2024-06,0,1,sp_full_scan_images/full_-23.75000_-46.79700_2024-06.jpg
-23.75,-46.79150000000001,2024-06,0,0,sp_full_scan_images/full_-23.75000_-46.79150_2024-06.jpg
-23.75,-46.786000000000016,2024-06,0,1,sp_full_scan_images/full_-23.75000_-46.78600_2024-06.jpg
-23.75,-46.78050000000002,2024-06,0,0,sp_full_scan_images/full_-23.75000_-46.78050_2024-06.jpg
-23.75,-46.77500000000002,2023-07,0,1,sp_full_scan_images/full_-23.75000_-46.77500_2023-07.jpg
-23.75,-46.70350000000005,2022-03,0,0,sp_full_scan_images/full_-23.75000_-46.70350_2022-03.jpg
-23.75,-46.69800000000005,2023-07,0,0,sp_full_scan_images/full_-23.75000_-46.69800_2023-07.jpg
-23.75,-46.687000000000054,2022-05,0,0,sp_full_scan_images/full_-23.75000_-46.68700_2022-05.jpg
-23.75,-46.68150000000006,2022-03,0,1,sp_full_scan_images/full_-23.75000_-46.68150_2022-03.jpg
-23.75,-46.67600000000006,2024-06,0,2,sp_full_scan_images/full_-23.75000_-46.67600_2024-06.jpg
-23.75,-46.67050000000006,2024-01,0,0,sp_full_scan_images/full_-23.75000_-46.67050_2024-01.jpg
-23.75,-46.659500000000065,2024-04,0,1,sp_full_scan_images/full_-23.75000_-46.65950_2024-04.jpg
-23.75,-46.62100000000008,2025-06,0,1,sp_full_scan_images/full_-23.75000_-46.62100_2025-06.jpg
-23.75,-46.60450000000009,2025-06,0,0,sp_full_scan_images/full_-23.75000_-46.60450_2025-06.jpg
-23.75,-46.59900000000009,2025-06,0,0,sp_full_scan_images/full_-23.75000_-46.59900_2025-06.jpg
-23.75,-46.59350000000009,2025-06,0,2,sp_full_scan_images/full_-23.75000_-46.59350_2025-06.jpg
-23.75,-46.582500000000095,2024-08,0,0,sp_full_scan_images/full_-23.75000_-46.58250_2024-08.jpg
-23.75,-46.5770000000001,2025-06,0,1,sp_full_scan_images/full_-23.75000_-46.57700_2025-06.jpg
-23.75,-46.5715000000001,2025-06,0,0,sp_full_scan_images/full_-23.75000_-46.57150_2025-06.jpg
-23.75,-46.555000000000106,2024-08,0,1,sp_full_scan_images/full_-23.75000_-46.55500_2024-08.jpg
-23.75,-46.43950000000015,2025-07,0,0,sp_full_scan_images/full_-23.75000_-46.43950_2025-07.jpg
-23.75,-46.434000000000154,2023-05,0,1,sp_full_scan_images/full_-23.75000_-46.43400_2023-05.jpg
-23.75,-46.406500000000165,2023-05,0,0,sp_full_scan_images/full_-23.75000_-46.40650_2023-05.jpg
-23.75,-46.40100000000017,2025-07,0,1,sp_full_scan_images/full_-23.75000_-46.40100_2025-07.jpg
-23.75,-46.36800000000018,2025-08,0,1,sp_full_scan_images/full_-23.75000_-46.36800_2025-08.jpg
-23.7445,-46.80800000000001,2024-06,0,0,sp_full_scan_images/full_-23.74450_-46.80800_2024-06.jpg
-23.7445,-46.80250000000001,2024-06,0,1,sp_full_scan_images/full_-23.74450_-46.80250_2024-06.jpg
-23.7445,-46.79700000000001,2024-06,0,0,sp_full_scan_images/full_-23.74450_-46.79700_2024-06.jpg
-23.7445,-46.79150000000001,2022-03,0,0,sp_full_scan_images/full_-23.74450_-46.79150_2022-03.jpg
-23.7445,-46.786000000000016,2024-06,0,0,sp_full_scan_images/full_-23.74450_-46.78600_2024-06.jpg
-23.7445,-46.78050000000002,2024-06,0,1,sp_full_scan_images/full_-23.74450_-46.78050_2024-06.jpg
-23.7445,-46.709000000000046,2024-05,0,0,sp_full_scan_images/full_-23.74450_-46.70900_2024-05.jpg
-23.7445,-46.70350000000005,2024-06,0,1,sp_full_scan_images/full_-23.74450_-46.70350_2024-06.jpg
-23.7445,-46.69800000000005,2022-03,0,0,sp_full_scan_images/full_-23.74450_-46.69800_2022-03.jpg
-23.7445,-46.687000000000054,2022-03,0,1,sp_full_scan_images/full_-23.74450_-46.68700_2022-03.jpg
-23.7445,-46.68150000000006,2024-01,0,0,sp_full_scan_images/full_-23.74450_-46.68150_2024-01.jpg
-23.7445,-46.67050000000006,2024-04,0,0,sp_full_scan_images/full_-23.74450_-46.67050_2024-04.jpg
-23.7445,-46.66500000000006,2024-04,0,1,sp_full_scan_images/full_-23.74450_-46.66500_2024-04.jpg
-23.7445,-46.632000000000076,2025-06,0,0,sp_full_scan_images/full_-23.74450_-46.63200_2025-06.jpg
-23.7445,-46.610000000000085,2025-06,0,0,sp_full_scan_images/full_-23.74450_-46.61000_2025-06.jpg
-23.7445,-46.60450000000009,2025-06,0,0,sp_full_scan_images/full_-23.74450_-46.60450_2025-06.jpg
-23.7445,-46.59900000000009,2025-06,0,0,sp_full_scan_images/full_-23.74450_-46.59900_2025-06.jpg
-23.7445,-46.560500000000104,2025-06,0,1,sp_full_scan_images/full_-23.74450_-46.56050_2025-06.jpg
-23.7445,-46.555000000000106,2025-07,0,1,sp_full_scan_images/full_-23.74450_-46.55500_2025-07.jpg
-23.7445,-46.53850000000011,2025-07,0,1,sp_full_scan_images/full_-23.74450_-46.53850_2025-07.jpg
-23.7445,-46.52750000000012,2025-07,0,0,sp_full_scan_images/full_-23.74450_-46.52750_2025-07.jpg
-23.7445,-46.52200000000012,2025-07,0,0,sp_full_scan_images/full_-23.74450_-46.52200_2025-07.jpg
-23.7445,-46.49450000000013,2025-07,0,1,sp_full_scan_images/full_-23.74450_-46.49450_2025-07.jpg
-23.7445,-46.44500000000015,2025-07,0,0,sp_full_scan_images/full_-23.74450_-46.44500_2025-07.jpg
-23.7445,-46.40100000000017,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.40100_2025-08.jpg
-23.7445,-46.39550000000017,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.39550_2025-08.jpg
-23.7445,-46.39000000000017,2025-08,0,1,sp_full_scan_images/full_-23.74450_-46.39000_2025-08.jpg
-23.7445,-46.38450000000017,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.38450_2025-08.jpg
-23.7445,-46.379000000000175,2025-08,0,1,sp_full_scan_images/full_-23.74450_-46.37900_2025-08.jpg
-23.7445,-46.37350000000018,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.37350_2025-08.jpg
-23.7445,-46.36800000000018,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.36800_2025-08.jpg
-23.7445,-46.36250000000018,2025-08,0,0,sp_full_scan_images/full_-23.74450_-46.36250_2025-08.jpg
-23.738999999999997,-46.813500000000005,2025-10,0,1,sp_full_scan_images/full_-23.73900_-46.81350_2025-10.jpg
-23.738999999999997,-46.80250000000001,2024-06,0,1,sp_full_scan_images/full_-23.73900_-46.80250_2024-06.jpg
-23.738999999999997,-46.79150000000001,2024-06,0,2,sp_full_scan_images/full_-23.73900_-46.79150_2024-06.jpg
-23.738999999999997,-46.786000000000016,2023-07,0,0,sp_full_scan_images/full_-23.73900_-46.78600_2023-07.jpg
-23.738999999999997,-46.78050000000002,2024-06,1,0,sp_full_scan_images/full_-23.73900_-46.78050_2024-06.jpg
-23.738999999999997,-46.77500000000002,2024-06,1,1,sp_full_scan_images/full_-23.73900_-46.77500_2024-06.jpg
-23.738999999999997,-46.714500000000044,2024-05,0,0,sp_full_scan_images/full_-23.73900_-46.71450_2024-05.jpg
-23.738999999999997,-46.70350000000005,2024-01,0,2,sp_full_scan_images/full_-23.73900_-46.70350_2024-01.jpg
