Lat,Lon,Date,Vendor_Count,Stall_Count,Merch_Count,Image_File
-23.543667,-46.629833000000005,2024-07,0,2,0,sp_scan_images/sp_-23.543667_-46.629833000000005_2024-07.jpg
-23.543667,-46.629333,2024-07,0,1,0,sp_scan_images/sp_-23.543667_-46.629333_2024-07.jpg
-23.543667,-46.628833,2025-06,0,1,0,sp_scan_images/sp_-23.543667_-46.628833_2025-06.jpg
-23.543167,-46.629333,2025-10,3,4,0,sp_scan_images/sp_-23.543167_-46.629333_2025-10.jpg
-23.543167,-46.628833,2025-06,0,1,0,sp_scan_images/sp_-23.543167_-46.628833_2025-06.jpg
-23.542667,-46.629833000000005,2025-06,0,0,1,sp_scan_images/sp_-23.542667_-46.629833000000005_2025-06.jpg
-23.542667,-46.629333,2025-06,1,1,1,sp_scan_images/sp_-23.542667_-46.629333_2025-06.jpg
-23.542667,-46.628833,2025-06,0,0,0,sp_scan_images/sp_-23.542667_-46.628833_2025-06.jpg
