Lat,Lon,Date,Vendor_Count,Stall_Count,Merch_Count,Image_File
-23.543667,-46.632333,2024-07,2,3,0,sp_full_scan_images/sp_-23.543667_-46.632333_2024-07.jpg
-23.543667,-46.630333,2024-07,0,1,0,sp_full_scan_images/sp_-23.543667_-46.630333_2024-07.jpg
-23.543667,-46.628833,2025-06,0,1,0,sp_full_scan_images/sp_-23.543667_-46.628833_2025-06.jpg
-23.543667,-46.626833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.543667_-46.626833_2024-07.jpg
-23.543667,-46.626333,2024-07,0,1,0,sp_full_scan_images/sp_-23.543667_-46.626333_2024-07.jpg
-23.543667,-46.624833,2024-07,0,1,0,sp_full_scan_images/sp_-23.543667_-46.624833_2024-07.jpg
-23.543667,-46.624333,2024-07,0,1,0,sp_full_scan_images/sp_-23.543667_-46.624333_2024-07.jpg
-23.543167,-46.632833000000005,2023-12,0,1,0,sp_full_scan_images/sp_-23.543167_-46.632833_2023-12.jpg
-23.543167,-46.632333,2024-01,2,1,0,sp_full_scan_images/sp_-23.543167_-46.632333_2024-01.jpg
-23.543167,-46.630333,2024-07,0,2,0,sp_full_scan_images/sp_-23.543167_-46.630333_2024-07.jpg
-23.543167,-46.629333,2025-10,1,1,0,sp_full_scan_images/sp_-23.543167_-46.629333_2025-10.jpg
-23.543167,-46.627833,2024-07,0,1,0,sp_full_scan_images/sp_-23.543167_-46.627833_2024-07.jpg
-23.543167,-46.626333,2024-01,0,1,0,sp_full_scan_images/sp_-23.543167_-46.626333_2024-01.jpg
-23.542667,-46.634333000000005,2025-06,0,1,0,sp_full_scan_images/sp_-23.542667_-46.634333_2025-06.jpg
-23.542667,-46.633833,2025-06,0,1,0,sp_full_scan_images/sp_-23.542667_-46.633833_2025-06.jpg
-23.542667,-46.633333,2024-07,0,1,0,sp_full_scan_images/sp_-23.542667_-46.633333_2024-07.jpg
-23.542667,-46.632833000000005,2024-07,0,1,0,sp_full_scan_images/sp_-23.542667_-46.632833_2024-07.jpg
-23.542667,-46.631833,2024-01,1,1,0,sp_full_scan_images/sp_-23.542667_-46.631833_2024-01.jpg
-23.542667,-46.631333000000005,2023-04,0,1,0,sp_full_scan_images/sp_-23.542667_-46.631333_2023-04.jpg
-23.542667,-46.630833,2025-06,0,1,0,sp_full_scan_images/sp_-23.542667_-46.630833_2025-06.jpg
-23.542667,-46.627833,2024-01,0,1,0,sp_full_scan_images/sp_-23.542667_-46.627833_2024-01.jpg
